HSCode,Name,Metro_Area,City,Admitted2015,Enrolled2015,enrolled2015PctSeniors,campus_url,twelfthcount,allstudentscount,BlackHispMulti,WhiteOther,Color,african_american_percent,hispanic_percent,atRiskPct,ecoDisPct,collegeReadyBothPct
2440236,James W Martin High School,Dallas-Fort Worth-Arlington,Arlington,30,17,0.022,/districts/arlington-isd/martin-high-school/,790,3361,0.35,0.65,White,14.3,17.8,0.473,0.255,0.64
2440943,John A Dubiski Career H.S.,Dallas-Fort Worth-Arlington,Grand Prairie,9,6,0.017,/districts/grand-prairie-isd/john-dubiski-career-high-school/,350,1486,0.84,0.17,Minority,10.7,72,0.486,0.67,0.7
2441946,John H Guyer High School,Dallas-Fort Worth-Arlington,Denton,21,13,0.024,/districts/denton-isd/guyer-high-school/,539,2395,0.33,0.67,White,9.4,21.9,0.189,0.205,0.58
2441757,Justin F Kimball High School,Dallas-Fort Worth-Arlington,Dallas,16,6,0.021,/districts/dallas-isd/justin-f-kimball-high-school/,287,1441,0.98,0.02,Minority,32.6,65.4,0.802,0.853,0.34
2443745,Kaufman High School,Dallas-Fort Worth-Arlington,Kaufman,4,3,0.015,/districts/kaufman-isd/kaufman-high-school/,204,957,0.41,0.59,White,5.5,34.8,0.394,0.527,0.54
2443755,Keller High School,Dallas-Fort Worth-Arlington,Keller,21,9,0.015,/districts/keller-isd/keller-high-school/,582,2644,0.16,0.84,White,2.6,11.2,0.187,0.045,0.83
2443787,Kennedale High School,Dallas-Fort Worth-Arlington,Kennedale,6,2,0.009,/districts/kennedale-isd/kennedale-high-school/,224,992,0.47,0.54,White,22.4,21.8,0.439,0.327,0.54
2443965,Lake Dallas High School,Dallas-Fort Worth-Arlington,Lake Dallas,8,5,0.017,/districts/lake-dallas-isd/lake-dallas-high-school/,291,1274,0.35,0.65,White,6.4,23.9,0.228,0.278,0.61
2441758,Lake Highlands High School,Dallas-Fort Worth-Arlington,Dallas,35,21,0.041,/districts/richardson-isd/lake-highlands-high-school/,510,1698,0.6,0.4,Minority,28.3,29.7,0.491,0.488,0.6
2444457,Lake Ridge High School,Dallas-Fort Worth-Arlington,Mansfield,16,12,0.028,/districts/mansfield-isd/mansfield-lake-ridge-h-s/,427,2085,0.62,0.38,Minority,32,25.5,0.39,0.271,0.51
2442527,Lake Worth High School,Dallas-Fort Worth-Arlington,Lake Worth,3,3,0.019,/districts/lake-worth-isd/lake-worth-high-school/,161,743,0.72,0.28,Minority,12.1,57.3,0.483,0.69,0.33
2442730,Lakeview Centennial High School,Dallas-Fort Worth-Arlington,Garland,6,2,0.004,/districts/garland-isd/lakeview-centennial-high-school/,514,2317,0.74,0.27,Minority,30,41.3,0.604,0.557,0.48
2440241,Lamar High School,Dallas-Fort Worth-Arlington,Arlington,23,16,0.028,/districts/arlington-isd/lamar-high-school/,576,2918,0.71,0.3,Minority,33,36,0.697,0.558,0.5
2444010,Lancaster High School,Dallas-Fort Worth-Arlington,Lancaster,17,5,0.013,/districts/lancaster-isd/lancaster-high-school/,384,1841,0.97,0.03,Minority,80.3,16.2,0.379,0.795,0.3
2443502,Lawrence D Bell High School,Dallas-Fort Worth-Arlington,Hurst,25,16,0.023,/districts/hurst-euless-bedford-isd/bell-high-school/,686,2143,0.43,0.57,White,13.3,27.7,0.435,0.403,0.69
2444135,Lewisville High School,Dallas-Fort Worth-Arlington,Lewisville,21,12,0.013,/districts/lewisville-isd/lewisville-high-school/,936,1986,0.65,0.35,Minority,18.1,44.7,0.447,0.497,0.51
2445579,Liberty High School,Dallas-Fort Worth-Arlington,Frisco,50,24,0.045,/districts/frisco-isd/liberty-high-school/,533,2037,0.23,0.77,White,10.7,10.3,0.12,0.082,0.76
2441760,Lincoln Humanities/Communications,Dallas-Fort Worth-Arlington,Dallas,4,1,0.008,/districts/dallas-isd/lincoln-humanitiescommunications-magnet-high-school/,122,525,0.99,0.01,Minority,80.4,18.5,0.792,0.811,0.31
2444198,Little Elm High School,Dallas-Fort Worth-Arlington,Little Elm,6,3,0.01,/districts/little-elm-isd/little-elm-high-school/,302,1866,0.59,0.42,Minority,17.4,38.9,0.568,0.423,0.57
